更新时间,#genre#
CCTV-10,http://120.55.49.231:8693/rtp/233.50.201.122:5140$浙江电信组播源
CCTV-10,http://gslbserv.itv.cmvideo.cn/1000000005000265010/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265010&livemode=1&stbId=3$订阅源
CCTV-11,http://123.56.129.203:1385/rtp/225.1.8.73:8120$北京电信组播源
CCTV-11,http://123.56.129.203:1385/rtp/225.1.8.111:8040$北京电信组播源
CCTV-11,http://120.55.49.231:8693/rtp/233.50.201.11:5140$浙江电信组播源
CCTV-11,http://gslbserv.itv.cmvideo.cn/1000000005000265011/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=3$订阅源
CCTV-12,http://123.56.129.203:1385/rtp/225.1.8.12:8124$北京电信组播源
CCTV-12,http://123.56.129.203:1385/rtp/225.1.8.112:8232$北京电信组播源
CCTV-12,http://120.55.49.231:8693/rtp/233.50.201.123:5140$浙江电信组播源
CCTV-12,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002147/index.m3u8$订阅源|IPv6
CCTV-12,http://gslbserv.itv.cmvideo.cn/1000000005000265012/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265012&livemode=1&stbId=3$订阅源
CCTV-13,http://123.56.129.203:1385/rtp/225.1.8.168:8130$北京电信组播源
CCTV-13,http://123.56.129.203:1385/rtp/225.1.1.10:8128$北京电信组播源
CCTV-13,http://120.55.49.231:8693/rtp/233.50.201.246:5140$浙江电信组播源
CCTV-13,http://gslbserv.itv.cmvideo.cn/1000000002000021303/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=3$订阅源
CCTV-14,http://123.56.129.203:1385/rtp/225.1.8.14:8132$北京电信组播源
CCTV-14,http://123.56.129.203:1385/rtp/225.1.8.114:8236$北京电信组播源
CCTV-14,http://120.55.49.231:8693/rtp/233.50.201.124:5140$浙江电信组播源
CCTV-14,http://gslbserv.itv.cmvideo.cn/1000000005000265013/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=3$订阅源
CCTV-15,http://123.56.129.203:1385/rtp/225.1.8.74:8136$北京电信组播源
CCTV-15,http://123.56.129.203:1385/rtp/225.1.8.115:8052$北京电信组播源
CCTV-15,http://120.55.49.231:8693/rtp/233.50.201.15:5140$浙江电信组播源
CCTV-15,http://gslbserv.itv.cmvideo.cn/1000000005000265014/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=3$订阅源
CCTV-16,http://120.55.49.231:8693/rtp/233.50.201.192:5140$浙江电信组播源
CCTV-16,http://122.9.151.210:7290/rtp/238.255.2.219:5999$贵州电信组播源
CCTV-16,http://gslbserv.itv.cmvideo.cn/1000000006000233002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=3$订阅源
CCTV-16,http://[2409:8087:2001:20:2800:0:df6e:eb15]:80/wh7f454c46tw2571298525_-1215675140/ott.mobaibox.com/PLTV/3/224/3221228112/index.m3u8?$订阅源|IPv6
CCTV-16,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$订阅源|IPv6
CCTV-16,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw1269761993_1267691970/ott.mobaibox.com/PLTV/3/224/3221228320/index.m3u8?$订阅源|IPv6
CCTV-17,http://123.56.129.203:1385/rtp/225.1.8.17:8144$北京电信组播源
CCTV-17,http://123.56.129.203:1385/rtp/225.1.8.117:8064$北京电信组播源
CCTV-17,http://120.55.49.231:8693/rtp/233.50.200.113:5140$浙江电信组播源
CCTV-17,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000513$订阅源|IPv6
CCTV-17,http://[2409:8087:1a01:df::4025]:80/TVOD/88888888/224/3221225708/main.m3u8$订阅源|IPv6
CCTV-17,http://gslbserv.itv.cmvideo.cn/1000000005000265015/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265015&livemode=1&stbId=3$订阅源
CETV1,http://123.56.129.203:1385/rtp/225.1.8.169:4120$北京电信组播源
CETV1,http://120.55.49.231:8693/rtp/233.50.201.75:5140$浙江电信组播源
CETV1,http://122.9.151.210:7290/rtp/238.255.2.105:5999$贵州电信组播源
CETV2,http://123.56.129.203:1385/rtp/225.1.8.193:4120$北京电信组播源
CETV2,http://122.9.151.210:7290/rtp/238.255.2.221:5999$贵州电信组播源
CETV4,http://123.56.129.203:1385/rtp/225.1.8.195:4120$北京电信组播源
CETV4,http://120.55.49.231:8693/rtp/233.50.200.162:5140$浙江电信组播源
CETV4,http://122.9.151.210:7290/rtp/238.255.2.222:5999$贵州电信组播源

💰央视付费频道,#genre#

📡卫视频道,#genre#
广东卫视,http://123.56.129.203:1385/rtp/225.1.8.151:8132$北京电信组播源
广东卫视,http://120.55.49.231:8693/rtp/233.50.200.187:5140$浙江电信组播源
广东卫视,http://120.55.49.231:8693/rtp/233.50.201.56:5140$浙江电信组播源
广东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw1545504334_-1449102672/ott.mobaibox.com/PLTV/3/224/3221227691/index.m3u8?$订阅源|IPv6
广东卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225742/2/index.m3u8$订阅源|IPv6
广东卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227164/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178$订阅源|IPv6
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0$订阅源
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8$订阅源
香港卫视,http://anren.live/HK/BSJDUFpB.m3u8$订阅源
浙江卫视,http://123.56.129.203:1385/rtp/225.1.8.133:8284$北京电信组播源
浙江卫视,http://120.55.49.231:8693/rtp/233.50.200.231:5140$浙江电信组播源
浙江卫视,http://120.55.49.231:8693/rtp/233.50.201.100:5140$浙江电信组播源
浙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb08]:80/wh7f454c46tw1549883711_-1309402365/ott.mobaibox.com/PLTV/3/224/3221228204/index.m3u8?$订阅源|IPv6
浙江卫视,http://[2409:8087:1a0a:df::4038]:80/wh7f454c46tw2381060953_-1615294381/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8?icpid=88888888&RTS=1713969210&from=4&hms_devid=1211&online=1713969210&vqe=3$订阅源|IPv6
浙江卫视,http://[2409:8087:74f0:22::5]:6410/270000001128/9900000531/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000531$订阅源|IPv6
湖南卫视,http://123.56.129.203:1385/rtp/225.1.8.132:8064$北京电信组播源
湖南卫视,http://120.55.49.231:8693/rtp/233.50.201.103:5140$浙江电信组播源
湖南卫视,http://120.55.49.231:8693/rtp/233.50.201.52:5140$浙江电信组播源
湖南卫视,http://[2409:8087:1a0a:df::4018]:80/wh7f454c46tw3074498827_-624608810/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8?icpid=88888888&RTS=1713969903&from=4&hms_devid=990&online=1713969903&vqe=3$订阅源|IPv6
湖南卫视,http://[2409:8087:1a0a:df::402e]:80/wh7f454c46tw3107212859_-133726409/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8?icpid=88888888&RTS=1713969936&from=4&hms_devid=1103&online=1713969936&vqe=3$订阅源|IPv6
湖南卫视,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/wh7f454c46tw2055394169_1305357411/ott.mobaibox.com/PLTV/3/224/3221227220/index.m3u8?$订阅源|IPv6
北京卫视,http://123.56.129.203:1385/rtp/225.1.8.21:8002$北京电信组播源
北京卫视,http://120.55.49.231:8693/rtp/233.50.201.107:5140$浙江电信组播源
北京卫视,http://120.55.49.231:8693/rtp/233.50.201.40:5140$浙江电信组播源
北京卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0b]:80/wh7f454c46tw956907851_-1872531373/ott.mobaibox.com/PLTV/3/224/3221227390/index.m3u8?$订阅源|IPv6
北京卫视,http://[2409:8087:2001:20:2800:0:df6e:eb07]:80/wh7f454c46tw2053622677_1535084124/ott.mobaibox.com/PLTV/3/224/3221227246/index.m3u8?$订阅源|IPv6
北京卫视,http://[2409:8087:2001:20:2800:0:df6e:eb12]:80/wh7f454c46tw1929110115_-211355068/ott.mobaibox.com/PLTV/3/224/3221228115/index.m3u8?$订阅源|IPv6
湖北卫视,http://123.56.129.203:1385/rtp/225.1.8.146:8136$北京电信组播源
湖北卫视,http://120.55.49.231:8693/rtp/233.50.201.114:5140$浙江电信组播源
湖北卫视,http://120.55.49.231:8693/rtp/233.50.201.43:5140$浙江电信组播源
湖北卫视,http://[2409:8087:1a0a:df::4031]:80/wh7f454c46tw2442481903_293409364/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8?icpid=88888888&RTS=1713969271&from=4&hms_devid=1143&online=1713969271&vqe=3$订阅源|IPv6
湖北卫视,http://[2409:8087:1a0a:df::4016]:80/wh7f454c46tw2482810079_2015670374/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8?icpid=88888888&RTS=1713969311&from=4&hms_devid=992&online=1713969311&vqe=3$订阅源|IPv6
黑龙江卫视,http://123.56.129.203:1385/rtp/225.1.8.141:8196$北京电信组播源
黑龙江卫视,http://120.55.49.231:8693/rtp/233.50.201.115:5140$浙江电信组播源
黑龙江卫视,http://120.55.49.231:8693/rtp/233.50.201.42:5140$浙江电信组播源
黑龙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb13]:80/wh7f454c46tw516512633_-1915271837/ott.mobaibox.com/PLTV/3/224/3221227638/index.m3u8?$订阅源|IPv6
黑龙江卫视,http://[2409:8087:1a0a:df::4030]:80/wh7f454c46tw3745569663_1783156534/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8?icpid=88888888&RTS=1713970574&from=4&hms_devid=1144&online=1713970574&vqe=3$订阅源|IPv6
安徽卫视,http://123.56.129.203:1385/rtp/225.1.8.135:8272$北京电信组播源
安徽卫视,http://120.55.49.231:8693/rtp/233.50.201.113:5140$浙江电信组播源
安徽卫视,http://120.55.49.231:8693/rtp/233.50.201.62:5140$浙江电信组播源
安徽卫视,http://[2409:8087:74f0:22::7]:6410/270000001128/9900000514/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000514$订阅源|IPv6
安徽卫视,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw3368283462_1665536637/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8?icpid=88888888&RTS=1713970197&from=4&hms_devid=1208&online=1713970197&vqe=3$订阅源|IPv6
安徽卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0f]:80/wh7f454c46tw1543923225_-692499466/ott.mobaibox.com/PLTV/3/224/3221227643/index.m3u8?$订阅源|IPv6
重庆卫视,http://123.56.129.203:1385/rtp/225.1.8.148:8296$北京电信组播源
重庆卫视,http://120.55.49.231:8693/rtp/233.50.201.143:5140$浙江电信组播源
重庆卫视,http://120.55.49.231:8693/rtp/233.50.201.66:5140$浙江电信组播源
重庆卫视,http://[2409:8087:2001:20:2800:0:df6e:eb09]:80/wh7f454c46tw515363787_-1448315831/ott.mobaibox.com/PLTV/3/224/3221228133/index.m3u8?$订阅源|IPv6
重庆卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw514879444_-1075144663/ott.mobaibox.com/PLTV/3/224/3221227550/index.m3u8?$订阅源|IPv6
东方卫视,http://123.56.129.203:1385/rtp/225.1.8.147:8192$北京电信组播源
东方卫视,http://120.55.49.231:8693/rtp/233.50.201.125:5140$浙江电信组播源
东方卫视,http://120.55.49.231:8693/rtp/233.50.201.68:5140$浙江电信组播源
东方卫视,http://[2409:8087:1a0a:df::404d]:80/wh7f454c46tw2885470530_192792185/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8?icpid=88888888&RTS=1713969714&from=4&hms_devid=1208&online=1713969714&vqe=3$订阅源|IPv6
东方卫视,http://[2409:8087:1a0a:df::402d]:80/wh7f454c46tw2920536473_465873356/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8?icpid=88888888&RTS=1713969749&from=4&hms_devid=1103&online=1713969749&vqe=3$订阅源|IPv6
东方卫视,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw1540523289_-2010744264/ott.mobaibox.com/PLTV/3/224/3221227597/index.m3u8?$订阅源|IPv6
东南卫视,http://123.56.129.203:1385/rtp/225.1.8.149:8112$北京电信组播源
东南卫视,http://120.55.49.231:8693/rtp/233.50.201.146:5140$浙江电信组播源
东南卫视,http://120.55.49.231:8693/rtp/233.50.201.58:5140$浙江电信组播源
东南卫视,http://[2409:8087:1a01:df::4035]:80/TVOD/88888888/224/3221225950/main.m3u8$订阅源|IPv6
东南卫视,http://[2409:8087:74f0:22::4]:6610/270000001128/9900000519/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000519$订阅源|IPv6
甘肃卫视,http://123.56.129.203:1385/rtp/225.1.8.162:8188$北京电信组播源
甘肃卫视,http://122.9.151.210:7290/rtp/238.255.2.73:5999$贵州电信组播源
甘肃卫视,http://[2409:8087:1a0a:df::4015]:80/wh7f454c46tw3287197471_1365623238/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8?icpid=88888888&RTS=1713970116&from=4&hms_devid=992&online=1713970116&vqe=3$订阅源|IPv6
甘肃卫视,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001298/index.m3u8?love=freedom$订阅源|IPv6
甘肃卫视,http://[2409:8c02:21c:60::2b]/live.rxip.sc96655.com/live/gsws_4000.m3u8$订阅源|IPv6
广西卫视,http://123.56.129.203:1385/rtp/225.1.8.152:8300$北京电信组播源
广西卫视,http://120.55.49.231:8693/rtp/233.50.201.49:5140$浙江电信组播源
广西卫视,http://122.9.151.210:7290/rtp/238.255.2.64:5999$贵州电信组播源
广西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw1546067216_-1703904154/ott.mobaibox.com/PLTV/3/224/3221228183/index.m3u8?$订阅源|IPv6
广西卫视,http://[2409:8087:1a0a:df::404a]:80/wh7f454c46tw2753758345_1620272844/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8?icpid=88888888&RTS=1713969582&from=4&hms_devid=1212&online=1713969582&vqe=3$订阅源|IPv6
贵州卫视,http://123.56.129.203:1385/rtp/225.1.8.144:8120$北京电信组播源
贵州卫视,http://120.55.49.231:8693/rtp/233.50.201.142:5140$浙江电信组播源
贵州卫视,http://120.55.49.231:8693/rtp/233.50.201.69:5140$浙江电信组播源
贵州卫视,http://[2409:8087:1a0a:df::402c]:80/wh7f454c46tw3713977475_-1473008417/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8?icpid=88888888&RTS=1713970542&from=4&hms_devid=989&online=1713970542&vqe=3$订阅源|IPv6
贵州卫视,http://[2409:8087:1a01:df::4030]:80/TVOD/88888888/224/3221225974/main.m3u8$订阅源|IPv6
海南卫视,http://123.56.129.203:1385/rtp/225.1.8.158:8304$北京电信组播源
海南卫视,http://120.55.49.231:8693/rtp/233.50.201.55:5140$浙江电信组播源
海南卫视,http://122.9.151.210:7290/rtp/238.255.2.58:5999$贵州电信组播源
海南卫视,http://[2409:8087:1a0a:df::4035]:80/wh7f454c46tw2956885686_2095434499/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8?icpid=88888888&RTS=1713969785&from=4&hms_devid=1209&online=1713969785&vqe=3$订阅源|IPv6
海南卫视,http://[2409:8087:2001:20:2800:0:df6e:eb05]:80/wh7f454c46tw1760762625_-423271938/ott.mobaibox.com/PLTV/3/224/3221228101/index.m3u8?$订阅源|IPv6
海南卫视,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000006211/index.m3u8?channel-id=bestzb&Contentid=5000000004000006211&livemode=1&stbId=3$订阅源|IPv6
河北卫视,http://123.56.129.203:1385/rtp/225.1.8.150:8292$北京电信组播源
河北卫视,http://120.55.49.231:8693/rtp/233.50.201.140:5140$浙江电信组播源
河北卫视,http://120.55.49.231:8693/rtp/233.50.201.50:5140$浙江电信组播源
河北卫视,http://[2409:8087:1a0a:df::4039]:80/wh7f454c46tw3680775025_-27616430/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8?icpid=88888888&RTS=1713970509&from=4&hms_devid=1212&online=1713970509&vqe=3$订阅源|IPv6
河南卫视,http://123.56.129.203:1385/rtp/225.1.8.140:8128$北京电信组播源
河南卫视,http://120.55.49.231:8693/rtp/233.50.201.144:5140$浙江电信组播源
河南卫视,http://120.55.49.231:8693/rtp/233.50.201.44:5140$浙江电信组播源
河南卫视,http://[2409:8087:1a0a:df::402b]:80/wh7f454c46tw3580436585_-1356766422/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8?icpid=88888888&RTS=1713970409&from=4&hms_devid=989&online=1713970409&vqe=3$订阅源|IPv6
吉林卫视,http://123.56.129.203:1385/rtp/225.1.8.153:8200$北京电信组播源
吉林卫视,http://120.55.49.231:8693/rtp/233.50.201.48:5140$浙江电信组播源
吉林卫视,http://122.9.151.210:7290/rtp/238.255.2.95:5999$贵州电信组播源
吉林卫视,http://[2409:8087:5e08:24::8]:6610/000000001000/5000000011000031117/index.m3u8?channel-id=bestzb&Contentid=5000000011000031117&livemode=1&stbId=3$订阅源|IPv6
江苏卫视,http://123.56.129.203:1385/rtp/225.1.8.134:8276$北京电信组播源
江苏卫视,http://120.55.49.231:8693/rtp/233.50.201.106:5140$浙江电信组播源
江苏卫视,http://120.55.49.231:8693/rtp/233.50.201.41:5140$浙江电信组播源
江苏卫视,http://[2409:8087:1a0a:df::402f]:80/wh7f454c46tw3223665652_2134146582/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8?icpid=88888888&RTS=1713970052&from=4&hms_devid=1144&online=1713970052&vqe=3$订阅源|IPv6
江西卫视,http://123.56.129.203:1385/rtp/225.1.1.9:8164$北京电信组播源
江西卫视,http://120.55.49.231:8693/rtp/233.50.201.145:5140$浙江电信组播源
江西卫视,http://120.55.49.231:8693/rtp/233.50.201.53:5140$浙江电信组播源
江西卫视,http://[2409:8087:1a01:df::4027]:80/TVOD/88888888/224/3221225935/main.m3u8$订阅源|IPv6
辽宁卫视,http://123.56.129.203:1385/rtp/225.1.8.137:8116$北京电信组播源
辽宁卫视,http://120.55.49.231:8693/rtp/233.50.201.141:5140$浙江电信组播源
辽宁卫视,http://120.55.49.231:8693/rtp/233.50.201.60:5140$浙江电信组播源
内蒙古卫视,http://123.56.129.203:1385/rtp/225.1.8.156:8176$北京电信组播源
内蒙古卫视,http://122.9.151.210:7290/rtp/238.255.2.53:5999$贵州电信组播源
内蒙古卫视,http://[2409:8087:1a01:df::401a]:80/wh7f454c46tw3029083262_-802204014/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8?icpid=88888888&RTS=1713969858&from=4&hms_devid=128&prioritypopid=4&online=1713969858&vqe=3$订阅源|IPv6
宁夏卫视,http://123.56.129.203:1385/rtp/225.1.8.159:8124$北京电信组播源
宁夏卫视,http://120.55.49.231:8693/rtp/233.50.201.57:5140$浙江电信组播源
宁夏卫视,http://122.9.151.210:7290/rtp/238.255.2.75:5999$贵州电信组播源
宁夏卫视,http://[2409:8087:2001:20:2800:0:df6e:eb11]:80/wh7f454c46tw1566530147_207556490/ott.mobaibox.com/PLTV/3/224/3221225842/index.m3u8?$订阅源|IPv6
青海卫视,http://123.56.129.203:1385/rtp/225.1.8.157:8184$北京电信组播源
青海卫视,http://120.55.49.231:8693/rtp/233.50.201.65:5140$浙江电信组播源
青海卫视,http://122.9.151.210:7290/rtp/238.255.2.51:5999$贵州电信组播源
青海卫视,http://[2409:8087:1a0a:df::4037]:80/wh7f454c46tw2412256287_-144096703/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8?icpid=88888888&RTS=1713969241&from=4&hms_devid=1211&online=1713969241&vqe=3$订阅源|IPv6
青海卫视,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8$订阅源|IPv6
山东卫视,http://123.56.129.203:1385/rtp/225.1.8.138:8148$北京电信组播源
山东卫视,http://120.55.49.231:8693/rtp/233.50.201.105:5140$浙江电信组播源
山东卫视,http://120.55.49.231:8693/rtp/233.50.201.64:5140$浙江电信组播源
山西卫视,http://123.56.129.203:1385/rtp/225.1.8.155:8172$北京电信组播源
山西卫视,http://120.55.49.231:8693/rtp/233.50.201.51:5140$浙江电信组播源
山西卫视,http://122.9.151.210:7290/rtp/238.255.2.71:5999$贵州电信组播源
陕西卫视,http://123.56.129.203:1385/rtp/225.1.8.154:8140$北京电信组播源
陕西卫视,http://120.55.49.231:8693/rtp/233.50.201.59:5140$浙江电信组播源
